Provincia_Navegacion;Localidad_Agrupadora_Link;Provincia_Tabla;Localidad_Especifica_Tabla;CP_Tabla;CPA_Tabla;CodTel_Tabla
Chaco;10 de Mayo;Chaco;10 de Mayo;3705;H3705XER;
Chaco;10 de Mayo;Chaco;Bajo Hondo;3705;H3705XCY;
Chaco;10 de Mayo;Chaco;Bajo Verde;3705;H3705XDD;
Chaco;10 de Mayo;Chaco;Berlin;3705;H3705XDE;
Chaco;10 de Mayo;Chaco;Bolsa Grande;3705;H3705XDF;
Chaco;10 de Mayo;Chaco;California;3705;H3705XDG;
Chaco;10 de Mayo;Chaco;Campo el Aibal;3705;H3705XDH;
Chaco;10 de Mayo;Chaco;Campo el Onza;3705;H3705XDI;
Chaco;10 de Mayo;Chaco;Campo Grande;3705;H3705XDJ;
Chaco;10 de Mayo;Chaco;Campo Overos;3705;H3705XDK;
Chaco;10 de Mayo;Chaco;Colonia Cabeza de Buey;3705;H3705XBB;
Chaco;10 de Mayo;Chaco;Colonia el Alazan;3705;H3705XBC;
Chaco;10 de Mayo;Chaco;Colonia Esperanza;3705;H3509XAM;
Chaco;10 de Mayo;Chaco;Colonia Fortuni;3705;H3705XBE;
Chaco;10 de Mayo;Chaco;Colonia Indigena;3705;H3705XBF;
Chaco;10 de Mayo;Chaco;Colonia Juan Jose Castelli;3705;H3705XBG;
Chaco;10 de Mayo;Chaco;Colonia la Florida Chica;3705;H3705XBH;
Chaco;10 de Mayo;Chaco;Colonia la Florida Grande;3705;H3705XDM;
Chaco;10 de Mayo;Chaco;Colonia Monte Quemado;3705;H3705XDN;
Chaco;10 de Mayo;Chaco;Colonia San Antonio;3705;H3509XAP;
Chaco;10 de Mayo;Chaco;Comandancia Frias;3705;H3705XDP;
Chaco;10 de Mayo;Chaco;Corralito;3705;H3705XDQ;
Chaco;10 de Mayo;Chaco;Doña Paula;3705;H3705XDR;
Chaco;10 de Mayo;Chaco;El 15;3705;H3509XAR;
Chaco;10 de Mayo;Chaco;El Aibal;3705;H3705XDT;
Chaco;10 de Mayo;Chaco;El Asustado;3705;H3705XDU;
Chaco;10 de Mayo;Chaco;El Desierto;3705;H3705XDV;
Chaco;10 de Mayo;Chaco;El Pintado;3705;H3705XCZ;
Chaco;10 de Mayo;Chaco;El Quebrachal;3705;H3705XAC;
Chaco;10 de Mayo;Chaco;El Recreo;3705;H3705XDW;
Chaco;10 de Mayo;Chaco;El Sauzal;3705;H3705XDX;
Chaco;10 de Mayo;Chaco;El Sauzalito;3705;Buscar CPA;
Chaco;10 de Mayo;Chaco;El Simbolar;3705;H3705XDY;
Chaco;10 de Mayo;Chaco;El Viscacheral;3705;H3705XDZ;
Chaco;10 de Mayo;Chaco;Estancia Loma Alta;3705;H3705XEA;
Chaco;10 de Mayo;Chaco;Ex Fortin Arenales;3705;H3705XEC;
Chaco;10 de Mayo;Chaco;Ex Fortin Comandante Frias;3705;H3705XED;
Chaco;10 de Mayo;Chaco;Ex Fortin Lavalle;3705;H3705XEE;
Chaco;10 de Mayo;Chaco;Ex Fortin Perez Millan;3705;H3705XEF;
Chaco;10 de Mayo;Chaco;Ex Fortin Wilde;3705;H3705XBQ;
Chaco;10 de Mayo;Chaco;Ex Fortin Zelaya;3705;H3705XEB;
Chaco;10 de Mayo;Chaco;Fuerte Esperanza;3705;H3705XAD;
Chaco;10 de Mayo;Chaco;Juan Jose Castelli;3705;Buscar CPA;364
Chaco;10 de Mayo;Chaco;Kilometro 40;3705;H3705XBN;
Chaco;10 de Mayo;Chaco;La Armonia;3705;H3705XBS;
Chaco;10 de Mayo;Chaco;La Cañada;3705;H3705XBT;
Chaco;10 de Mayo;Chaco;La Costosa;3705;H3705XBU;
Chaco;10 de Mayo;Chaco;La Entrada;3705;H3705XBV;
Chaco;10 de Mayo;Chaco;La Esperanza;3705;H3705XBW;
Chaco;10 de Mayo;Chaco;La Estacion;3705;H3705XBX;
Chaco;2 de Mayo;Chaco;2 de Mayo;3722;H3722XAO;
Chaco;2 de Mayo;Chaco;Campo Zapa;3722;H3722XAA;
Chaco;2 de Mayo;Chaco;Colonia Cuero Quemado;3722;H3722XAB;
Chaco;2 de Mayo;Chaco;Colonia General Necochea;3722;H3722XAC;
Chaco;2 de Mayo;Chaco;Colonia Juan Lavalle;3722;H3722XAF;
Chaco;2 de Mayo;Chaco;Curva de Novoa;3722;H3722XAM;
Chaco;2 de Mayo;Chaco;Dos Boliches;3722;H3722XAN;
Chaco;2 de Mayo;Chaco;El Cajon;3722;H3722XAK;
Chaco;2 de Mayo;Chaco;El Estero;3722;H3722XAY;
Chaco;2 de Mayo;Chaco;El Oro Blanco;3722;H3722XAL;
Chaco;2 de Mayo;Chaco;El Recoveco;3722;H3722XAZ;
Chaco;2 de Mayo;Chaco;El Recovo;3722;H3722XBA;
Chaco;2 de Mayo;Chaco;Las Breñas;3722;Buscar CPA;3731
Chaco;2 de Mayo;Chaco;Las Cuchillas;3722;H3722XAP;
